route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,day_count
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,9750.04545454545,22
P10,P10,P10 - ALLEGHENY VALLEY FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,687.272727272727,22
P12,P12,P12 - HOLIDAY PARK FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1184.86363636364,22
P13,P13,P13 - MOUNT ROYAL FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,268.727272727273,22
P16,P16,P16 - PENN HILLS FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,969.454545454545,22
P17,P17,P17 - LINCOLN PARK FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,364.136363636364,22
P2,P2,P2 - EAST BUSWAY SHORT,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1401.54545454545,22
P3,P3,P3 - EAST BUSWAY-OAKLAND,East Liberty,Bus,2017-01-01,201701,WEEKDAY,2745.68181818182,22
P67,P67,P67 - MONROEVILLE FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,443.954545454545,22
P68,P68,P68 - BRADDOCK HILLS FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,824.636363636364,22
P69,P69,P69 - TRAFFORD FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,244.636363636364,22
P7,P7,P7 - MCKEESPORT FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,701.409090909091,22
P71,P71,P71 - SWISSVALE FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,622.727272727273,22
P76,P76,P76 - LINCOLN HIGHWAY FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1040.59090909091,22
P78,P78,P78 - OAKMONT FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,905.909090909091,22
Y1,Y1,Y1 - LARGE FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,718.681818181818,22
Y45,Y45,Y45 - BALDWIN MANOR FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,265.681818181818,22
