route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6304,Clever
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,SAT.,0.7277,Clever
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,SUN.,0.6819,Clever
74,074,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6306,Clever
74,074,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2017-01-01,201701,SAT.,0.7166,Clever
75,075,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.71,Clever
75,075,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,SAT.,0.7312,Clever
75,075,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,SUN.,0.6492,Clever
77,077,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6218,Clever
77,077,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,SAT.,0.5561,Clever
77,077,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,SUN.,0.6342,Clever
78,078,78 - OAKMONT,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.8133,Clever
79,079,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6747,Clever
79,079,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,SAT.,0.6952,Clever
79,079,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,SUN.,0.7114,Clever
81,081,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.695,Clever
81,081,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,SAT.,0.6707,Clever
81,081,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,SUN.,0.6868,Clever
82,082,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6547,Clever
82,082,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,SAT.,0.6913,Clever
82,082,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,SUN.,0.6353,Clever
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6789,Clever
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,SAT.,0.8209,Clever
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,SUN.,0.6864,Clever
86,086,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6382,Clever
86,086,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,SAT.,0.6139,Clever
86,086,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,SUN.,0.6611,Clever
87,087,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6909,Clever
87,087,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,SAT.,0.7358,Clever
87,087,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,SUN.,0.75,Clever
88,088,88 - PENN,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6749,Clever
88,088,88 - PENN,East Liberty,Bus,2017-01-01,201701,SAT.,0.6488,Clever
88,088,88 - PENN,East Liberty,Bus,2017-01-01,201701,SUN.,0.7621,Clever
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.642,Clever
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,SAT.,0.6852,Clever
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,SUN.,0.6351,Clever
91,091,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,WEEKDAY,0.701,Clever
91,091,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,SAT.,0.7118,Clever
91,091,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,SUN.,0.632,Clever
93,093,93 - LAWRENCEVILLE - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7045,Clever
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7742,Clever
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,SAT.,0.8087,Clever
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,SUN.,0.7965,Clever
G3,G3,G3 - MOON FLYER,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7174,Clever
G31,G31,G31 - BRIDGEVILLE FLYER,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7257,Clever
O1,O1,O1 - ROSS FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7959,Clever
O12,O12,O12 - MCKNIGHT FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7023,Clever
O5,O5,O5 - THOMPSON RUN FLYER VIA 279,Ross,Bus,2017-01-01,201701,WEEKDAY,0.63,Clever
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.7889,Clever
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,SAT.,0.8151,Clever
